Last5Years,AttendTRBAM2026,Organization,HowLong
5,Probably not going,Local or Regional Government Agency,
5,Definitely not going,,
1,I don't know,,
4,Probably not going,,
5,Definitely going,Academic,
5,I don't know,Consulting,
4,I don't know,Academic,
5,Probably not going,Local or Regional Government Agency,11 to 15 years
4,Definitely going,Non-Profit / Advocacy,16 or more years
1,I don't know,Local or Regional Government Agency,16 or more years
4,Definitely going,Consulting,11 to 15 years
5,Probably not going,Academic,6 to 10 years
1,Probably not going,Academic,16 or more years
3,Probably not going,Academic,6 to 10 years
5,Probably not going,Academic,16 or more years
5,Probably going,Academic,16 or more years
3,Definitely not going,Local or Regional Government Agency,0 to 5 years
5,Probably going,Local or Regional Government Agency,6 to 10 years
1,Probably not going,Local or Regional Government Agency,11 to 15 years
4,I don't know,Consulting,11 to 15 years
4,Probably not going,Consulting,16 or more years
5,Definitely going,Product company,16 or more years
5,Definitely going,Academic,16 or more years
0,Probably not going,Local or Regional Government Agency,16 or more years
5,Definitely not going,Local or Regional Government Agency,6 to 10 years
2,Probably going,Consulting,6 to 10 years
5,Probably not going,Consulting,16 or more years
5,Probably going,FFRDC,6 to 10 years
5,Definitely going,Local or Regional Government Agency,16 or more years
3,I don't know,Academic,11 to 15 years
2,Probably not going,Consulting,16 or more years
5,Probably going,Academic,16 or more years
3,Probably going,Consulting,6 to 10 years
2,Definitely not going,Consulting,16 or more years
5,Definitely going,Academic,11 to 15 years
1,Probably not going,Consulting,11 to 15 years
2,Probably not going,State Government Agency,11 to 15 years
2,I don't know,Consulting,0 to 5 years
0,Probably going,Local or Regional Government Agency,6 to 10 years
1,Probably not going,Local or Regional Government Agency,16 or more years
5,Probably going,Retired,16 or more years
2,Probably not going,Consulting,16 or more years
4,Definitely not going,Academic,11 to 15 years
3,Probably going,Vendor,11 to 15 years
0,Definitely not going,Academic,6 to 10 years
5,Probably not going,Academic,16 or more years
0,Definitely not going,State Government Agency,16 or more years
5,Definitely going,Academic,11 to 15 years
5,Definitely going,Consulting,16 or more years
1,Definitely not going,Local or Regional Government Agency,16 or more years
3,I don't know,Nonprofit Research/Advocacy,0 to 5 years
0,Definitely not going,Consulting,16 or more years
1,Definitely not going,State Government Agency,0 to 5 years
5,Definitely going,Consulting,11 to 15 years
1,Definitely not going,Retired,16 or more years
3,Probably not going,Academic,16 or more years
3,Definitely not going,Local or Regional Government Agency,11 to 15 years
5,Probably going,Academic,16 or more years
3,Definitely not going,Local or Regional Government Agency,16 or more years
5,Definitely not going,Consulting,16 or more years
5,Definitely going,Consulting,11 to 15 years
4,Probably not going,Consulting,16 or more years
1,Probably not going,Consulting,16 or more years
5,Definitely going,Vendor,16 or more years
3,Probably not going,Consulting,11 to 15 years
2,Definitely not going,Local or Regional Government Agency,16 or more years
3,Definitely not going,Academic,16 or more years
5,Probably going,Academic,16 or more years
2,Definitely not going,,6 to 10 years
5,Definitely going,Local or Regional Government Agency,16 or more years
4,Probably going,Consulting,16 or more years
0,Definitely not going,State Government Agency,16 or more years
3,I don't know,Consulting,16 or more years
5,Definitely going,Academic,16 or more years
4,Probably going,Academic,16 or more years
5,Probably going,Consulting,16 or more years
3,Probably going,Consulting,16 or more years
5,Probably not going,Consultant,16 or more years
5,Definitely going,Consulting,16 or more years
3,Probably not going,Academic,16 or more years
4,Definitely not going,Consulting,16 or more years
5,I don't know,Local or Regional Government Agency,16 or more years
5,Definitely going,Academic,16 or more years
3,Definitely not going,Academic,16 or more years
2,Definitely not going,Retired,16 or more years
5,Definitely going,Consulting,16 or more years
4,Probably not going,Consulting,16 or more years
4,Probably not going,State Government Agency,16 or more years
0,Definitely not going,,16 or more years
4,Definitely not going,Consulting,16 or more years
5,Probably going,Consulting,16 or more years
2,Definitely not going,Local or Regional Government Agency,16 or more years
5,Definitely not going,Consulting,16 or more years
3,Probably not going,Consulting,16 or more years
5,I don't know,Academic,6 to 10 years
4,Definitely going,Academic,16 or more years
1,Probably not going,Consulting,16 or more years
2,I don't know,Consulting,11 to 15 years
3,Definitely going,National Lab,6 to 10 years
4,Definitely not going,Consulting,16 or more years
4,I don't know,Consulting,16 or more years
5,Definitely going,Academic,16 or more years
4,I don't know,Federal Government Agency,16 or more years
5,Probably going,Federal Government Agency,16 or more years
4,Probably not going,Consulting,16 or more years
3,I don't know,Local or Regional Government Agency,11 to 15 years
5,Definitely not going,State Government Agency,16 or more years
2,Probably going,Local or Regional Government Agency,16 or more years
4,Probably going,Academic,0 to 5 years
5,Definitely going,Consulting,16 or more years
4,Probably not going,Local or Regional Government Agency,16 or more years
5,Probably going,software,16 or more years
5,Definitely not going,Academic,16 or more years
1,Definitely not going,Local or Regional Government Agency,16 or more years
4,Probably not going,Academic,6 to 10 years
0,Definitely not going,Local or Regional Government Agency,16 or more years
2,I don't know,Consulting,6 to 10 years
5,Probably going,Consulting,16 or more years
2,Definitely not going,Local or Regional Government Agency,16 or more years
0,Definitely not going,Consulting,16 or more years
0,Definitely not going,Local or Regional Government Agency,16 or more years
5,Definitely not going,Local or Regional Government Agency,16 or more years
3,Definitely going,Software,16 or more years
2,Probably not going,Consulting,16 or more years
5,Probably not going,Consulting,16 or more years
5,Probably not going,Local or Regional Government Agency,16 or more years
3,Probably going,Local or Regional Government Agency,11 to 15 years
2,Definitely not going,Consulting,
